id,externalId,name,isString,isStep,description,securityCategories,unit,tag,scan,span,step,zero,recno,excdev,excmax,excmin,exdesc,future,compdev,compmax,compmin,convers,pointid,srcptid,engunits,shutdown,userint1,userint2,archiving,location1,location2,location3,location4,location5,pointtype,ptclassid,sourcetag,totalcode,userreal1,userreal2,descriptor,digitalset,filtercode,ptclassrev,squareroot,compressing,pointsource,ptclassname,typicalvalue,displaydigits,excdevpercent,instrumenttag,compdevpercent
4650870422672845,pi:160777,VAL_23-TIC-92504:Control Module:PI,False,False,PH 1stStgSuctCool Gas Out Integral time,[],s,VAL_23-TIC-92504:Control Module:PI,1,100,0,0,145277,0,86400,0,,0,0,86400,0,1,160777,0,s,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgSuctCool Gas Out Integral time,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-TIC-92504:Control Module:PI,0
4677894887923178,pi:160906,VAL_23-TT-96101-03:Z.X.Value,False,False,PH 1stStg Comp Journ BRG DE,[],,VAL_23-TT-96101-03:Z.X.Value,0,100,0,0,145406,0,600,0,,0,0,28800,0,1,160906,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Comp Journ BRG DE,,0,1,0,1,LAB-WAS-VAL,classic,50,-5,0,23-TT-96101-03:Z.X.Value,0
4684232455762666,pi:160074,VAL_23_PIC_92538_04:Z.X.Value,False,False,PH 1stStgComp STV Perf Prim PV,[],,VAL_23_PIC_92538_04:Z.X.Value,1,100,0,0,144574,0,600,0,,0,0,28800,0,1,160074,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgComp STV Perf Prim PV,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23_PIC_92538_04:Z.X.Value,0
4701698463130820,pi:160225,VAL_23-KA-9101_PED:VALUE,False,False,PH (CBM) 1st Stage Poly Eff Dev,[],,VAL_23-KA-9101_PED:VALUE,1,100,0,0,144725,0,600,0,,0,0,28800,0,1,160225,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH (CBM) 1st Stage Poly Eff Dev,,0,1,0,1,VLH_PCN5,classic,50,-5,0,23-KA-9101_PED:VALUE,0
4701828095211292,pi:161085,VAL_23-ZS-96142B:X.Value,False,False,PH 1stStgComp Encl Door B,[],,VAL_23-ZS-96142B:X.Value,1,1,1,147,145585,0,600,0,,0,0,28800,0,1,161085,0,,0,0,0,1,1,0,1,1,0,Digital,2,,0,0,0,PH 1stStgComp Encl Door B,Valhall_True_False,0,1,0,1,VLH_PCN1,classic,0,-5,0,23-ZS-96142B:X.Value,0
4732315655005086,pi:160888,VAL_23-TT-92603:X.Value,False,False,PH 1stStgDiscCool Gas Out,[],,VAL_23-TT-92603:X.Value,1,100,0,0,145388,0,600,0,,0,0,28800,0,1,160888,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgDiscCool Gas Out,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-TT-92603:X.Value,0
4778991053567629,pi:160668,VAL_23-PIC-96153:Control Module:PI,False,False,PH 1stStg Comp Inner Seal Integral time,[],s,VAL_23-PIC-96153:Control Module:PI,1,100,0,0,145168,0,86400,0,,0,0,86400,0,1,160668,0,s,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Comp Inner Seal Integral time,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-PIC-96153:Control Module:PI,0
4800757914851313,pi:160079,VAL_23_PIC_92538_09:Z.X.Value,False,False,PH 1stStgComp STV Perf Limit 2 SP,[],,VAL_23_PIC_92538_09:Z.X.Value,1,100,0,0,144579,0,600,0,,0,0,28800,0,1,160079,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgComp STV Perf Limit 2 SP,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23_PIC_92538_09:Z.X.Value,0
4806360597324138,pi:160622,VAL_23-PDI-96150:X.Value,False,False,PH 1st Stg Comp Over Inner Seal,[],,VAL_23-PDI-96150:X.Value,1,100,0,0,145122,0,600,0,,0,0,28800,0,1,160622,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1st Stg Comp Over Inner Seal,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-PDI-96150:X.Value,0
4856059344406513,pi:160782,VAL_23-TIC-92504:Z.Y.Value,False,False,PH 1stStgSuctCool Gas Out Output,[],degC,VAL_23-TIC-92504:Z.Y.Value,1,100,0,0,145282,0,600,0,,0,0,28800,0,1,160782,0,degC,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgSuctCool Gas Out Output,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-TIC-92504:Z.Y.Value,0
