name,parentId,description,id,ELC_STATUS_ID,RES_ID,SOURCE_DB,SOURCE_TABLE,WMT_AREA_ID,WMT_CATEGORY_ID,WMT_CONTRACTOR_ID,WMT_FUNC_CODE_ID,WMT_LOCATION_ID,WMT_PO_ID,WMT_SAFETYCRITICALELEMENT_ID,WMT_SYSTEM_ID,WMT_TAG_CREATED_DATE,WMT_TAG_CRITICALLINE,WMT_TAG_DESC,WMT_TAG_GLOBALID,WMT_TAG_HISTORYREQUIRED,WMT_TAG_ID,WMT_TAG_ID_ANCESTOR,WMT_TAG_ISACTIVE,WMT_TAG_ISOWNEDBYPROJECT,WMT_TAG_LOOP,WMT_TAG_MAINID,WMT_TAG_NAME,WMT_TAG_UPDATED_BY,WMT_TAG_UPDATED_DATE,WMT_TAG_STATUSCHGDATE,WMT_TAG_COMMENT,WMT_TAG_SUFFIX,WMT_SYSTEM_ACTIVE,WMT_SYSTEM_CODE,WMT_SYSTEM_DESC,WMT_SYSTEM_NAME,WMT_LOCATION_ACTIVE,WMT_LOCATION_CODE,WMT_LOCATION_EXTENDACTIVEWOP,WMT_LOCATION_EXTERNALOWNERSHIP,WMT_LOCATION_MAITIS,WMT_LOCATION_NAME,WMT_LOCATION_NOCOPIESDEFAULTIC,WMT_LOCATION_NOCOPIESWOPERMIT,WMT_LOCATION_OPERATIONHOURS,WMT_LOCATION_PROGVALUE,WMT_LOCATION_SIMULATETIMEFRAME,WMT_LOCATION_SJAMAXNOOFTASKS,WMT_LOCATION_USEPLOTALTITUDE,WMT_LOCATION_WORKSTART
23-YE-96120-01,3117826349444493,VRD - PH 1STSTGGEAR 2 JOURNBRG DE,5848006598793887,1211,300990,workmate,wmate_dba.wmt_tag,1600,1116,1686,4621,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGGEAR 2 JOURNBRG DE,1000000000718451,Y,346941,345637,1,0,96120,681760,23-YE-96120-01,8137,2014-07-11 09:25:15,,,,,,,,,,,,,,,,,,,,,
45-HV-92515-03,3837586830875217,VRD - PH 1STSTGSUCTCOOL SHELL PSV OUT,5857405505494174,1211,530866,workmate,wmate_dba.wmt_tag,1585,1116,1686,4418,1004,8309,,2363,2009-06-26 15:36:39,N,VRD - PH 1STSTGSUCTCOOL SHELL PSV OUT,1000000000710374,Y,350186,350272,1,0,92515,681760,45-HV-92515-03,8137,2017-06-26 12:39:30,2017-06-26 12:39:30,,,,,,,,,,,,,,,,,,,,
23-PDAH-92502,6681756879590530,VRD - PH 1STSTGSUCTCOOL TUBES : PRESSURE DIFFERENTIAL ALARM HIGH,5858919128595822,1211,,workmate,wmate_dba.wmt_tag,1585,1152,1686,11405,1004,8309,,4440,2013-05-16 11:50:16,N,VRD - PH 1STSTGSUCTCOOL TUBES : PRESSURE DIFFERENTIAL ALARM HIGH,1000000000291726,Y,698558,346173,1,0,,681760,23-PDAH-92502,1001,2015-10-06 12:28:32,,,,,,,,,,,,,,,,,,,,,
23-YI-96118-02,8860910247474155,SOFT TAG VRD - PH 1STSTGGEAR 1 JOURNBRG NDE,5864979945102554,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11275,1004,,,4440,2012-12-13 14:18:03,N,SOFT TAG VRD - PH 1STSTGGEAR 1 JOURNBRG NDE,1000000000251071,Y,683285,346938,1,0,,681760,23-YI-96118-02,1001,2015-10-09 11:56:31,2014-10-06 07:45:15,,,,,,,,,,,,,,,,,,,,
45-TT-92508,2861239574637735,VRD - PH 1STSTGSUCTCLR COOLMED OUT,5891006566061532,1211,496518,workmate,wmate_dba.wmt_tag,1585,1116,1686,4580,1004,8309,1060,2363,2009-06-26 15:36:39,N,VRD - PH 1STSTGSUCTCLR COOLMED OUT,1000000000710415,Y,350362,345949,1,0,92508,681760,45-TT-92508,9802,2013-12-09 12:53:00,,"Added Units ?C (VRD-CCR-000505, 11.04.12)",,,,,,,,,,,,,,,,,,,
23-ESDV-92551B,5345363121325760,VRD - PH 1STSTGDISCHCLR GAS OUT EQ,5901066000673985,1211,,workmate,wmate_dba.wmt_tag,1585,1253,1686,11508,1004,8309,1069,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGDISCHCLR GAS OUT EQ,1000000000708458,Y,345658,345962,1,0,92551B,681760,23-ESDV-92551B,8137,2017-01-26 08:31:56,,,,,,,,,,,,,,,,,,,,,
23-YT-96123,3117826349444493,VRD - PH 1STSTG GEAR CASE NDE,5904452802084594,1211,417494,workmate,wmate_dba.wmt_tag,1600,1116,1686,4627,1004,8309,1060,4440,2009-06-26 15:36:38,N,VRD - PH 1STSTG GEAR CASE NDE,1000000000715803,Y,347004,345637,1,0,96123,681760,23-YT-96123,9802,2013-12-09 12:53:01,,"Changed "","" to ""."" in alarm limits. (Ref: VRD-CCR-000505)",,,,,,,,,,,,,,,,,,,
23-YVX-92545,1730808533100998,VRD - PH 1STSTGDISCHCOOLER B/D,5905436374838228,1211,,workmate,wmate_dba.wmt_tag,1585,1116,1686,9263,1004,8309,1033,4440,2009-10-05 17:21:12,N,VRD - PH 1STSTGDISCHCOOLER B/D,1000000000723950,Y,364507,346987,1,0,92545,681760,23-YVX-92545,9802,2013-12-09 12:53:01,,,,,,,,,,,,,,,,,,,,,
23-PDI-92602,8777967579032859,SOFT TAG VRD - PH 1ST STG DISCH GAS COOLERS,5910263478891595,1211,,workmate,wmate_dba.wmt_tag,1585,1152,1686,11275,1004,,,4440,2012-12-13 14:14:02,N,SOFT TAG VRD - PH 1ST STG DISCH GAS COOLERS,1000000000250785,Y,683006,346178,1,0,,681760,23-PDI-92602,1001,2015-10-09 11:56:28,2014-10-06 07:45:10,,,,,,,,,,,,,,,,,,,,
23-YI-96122,1577713840271054,SOFT TAG VRD - PH 1STSTG GEAR CASE DE,5920672211340996,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11275,1004,,,4440,2012-12-13 14:18:09,N,SOFT TAG VRD - PH 1STSTG GEAR CASE DE,1000000000251076,Y,683290,347003,1,0,,681760,23-YI-96122,1001,2015-10-09 11:56:31,2014-10-06 07:45:15,,,,,,,,,,,,,,,,,,,,
23-TI-96147-02,323277268913879,SOFT TAG VRD - PH 1STSTG COMP SEAL GAS HTR,5950822579705115,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11275,1004,,,4440,2012-12-13 14:16:27,N,SOFT TAG VRD - PH 1STSTG COMP SEAL GAS HTR,1000000000250960,Y,683177,346632,1,0,,681760,23-TI-96147-02,1001,2015-10-09 11:56:30,2014-10-06 07:45:14,,,,,,,,,,,,,,,,,,,,
23-TAHH-96116-03,5844376313026776,VRD - PH 1STSTGGEAR THRUST BRG OUT : TEMPERATURE ALARM HIGH HIGH,5958382695133601,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11405,1004,8309,,4440,2015-10-06 12:18:22,N,VRD - PH 1STSTGGEAR THRUST BRG OUT : TEMPERATURE ALARM HIGH HIGH,1000000000112478,Y,769943,346433,1,0,,681760,23-TAHH-96116-03,1001,2015-10-06 13:14:19,,,,,,,,,,,,,,,,,,,,,
